// JOGOS
// Version 1.01
// File Date:2023/11/29 16:53:36
// (C) 2020 JFE Advantech Co., Ltd.

[Format]
FormatVersion=1.00
DataFormat=1
Delimiter=0
Model=JOGOS

[Head]
SondeName=ASTD102-ALC-R02
SondeNo=0043
SensorType=D0D1T1C1C2K0U3O0TOB0
SensorType2=06070303000202020302
Channel=10
Comment=
MeasMode=0

PreHeat=5000
Interval=100
SampleCnt=340

StartTime=2023/11/28 07:25:18
EndTime=2023/11/28 07:25:51

DepAdjRho=1.0197

ECA=0
ECB=1
ECDeg=25
ECCoef=0.022

CHLA=0
CHLB=1

PC_SWA=0
PC_SWB=0
PC_SWC=0
PC_SWD=0

DepthZero=0
StartDepthA=0
StartDepthB=0

FilmNo=200634BA

CondDepB=0
DepM=0

FormulaDOM=0
ExplanationDOM=Weiss (1970)

CoefDate=2020/12/14

Ch1=-4.601411e-01,+1.356948e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.723990e+00,+1.068250e-03,-1.248265e-08,+2.843085e-13,-3.370901e-18,+2.411280e-23,+0.000000e+00,+0.000000e+00,
Ch4=+4.325510e-02,+3.798688e+01,+1.186168e-02,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.618386e+00,+8.551577e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-1.015588e+01,+1.555503e-02,+1.442732e-07,-3.746744e-13,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.188910e+01,+2.099913e+06,-7.080700e+03,+9.905000e-03,+3.700000e-03,+5.330000e-05,+0.000000E+00,+1.023938E+00,
Ch9=-5.392881e+00,+1.074399e-03,-1.316831e-08,+3.168879e-13,-4.049353e-18,+2.921558e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,

[Item]
Measurement Date/Time,Press. [dbar],Temp. [℃],Salinity,Cond. [mS/cm],EC [μS/cm],Density [kg/m3],SigmaT,Chl-Flu. [ppb],Chl-a [ppb],Turb. [FTU],DO [%],DO [mg/l],DO [μmol/l],Batt. [V]
2023/11/28 07:25:18,0.204,19.751,0.060,0.108,122.503,998.303,-1.697,0.05,0.05,11.39,99.89,9.110,284.720,8.57,
2023/11/28 07:25:18,0.176,19.751,0.060,0.107,121.435,998.303,-1.698,0.13,0.13,11.25,99.93,9.114,284.844,8.56,
2023/11/28 07:25:18,0.176,19.753,0.060,0.107,121.479,998.303,-1.698,0.15,0.15,11.36,99.93,9.114,284.844,8.56,
2023/11/28 07:25:18,0.176,19.754,0.060,0.108,122.260,998.303,-1.698,0.17,0.17,11.26,99.92,9.114,284.826,8.56,
2023/11/28 07:25:18,0.176,19.755,0.060,0.108,122.190,998.302,-1.698,0.16,0.16,11.19,99.80,9.102,284.465,8.54,
2023/11/28 07:25:18,0.176,19.755,0.060,0.108,121.941,998.302,-1.699,0.12,0.12,11.15,99.74,9.096,284.280,8.56,
2023/11/28 07:25:18,0.176,19.756,0.060,0.107,121.308,998.302,-1.699,0.09,0.09,11.11,99.78,9.100,284.395,8.54,
2023/11/28 07:25:18,0.176,19.758,0.059,0.107,121.094,998.301,-1.699,0.08,0.08,11.04,99.75,9.096,284.282,8.52,
2023/11/28 07:25:18,0.176,19.760,0.059,0.107,120.538,998.301,-1.700,0.14,0.14,11.07,99.93,9.112,284.777,8.53,
2023/11/28 07:25:18,0.176,19.762,0.059,0.107,120.955,998.300,-1.700,0.09,0.09,11.14,99.94,9.113,284.804,8.53,
2023/11/28 07:25:19,0.163,19.763,0.060,0.107,121.458,998.300,-1.700,0.07,0.07,11.31,99.84,9.105,284.537,8.52,
2023/11/28 07:25:19,0.176,19.764,0.060,0.108,122.066,998.301,-1.700,0.15,0.15,11.09,99.84,9.105,284.537,8.52,
2023/11/28 07:25:19,0.163,19.764,0.060,0.107,121.445,998.300,-1.701,0.10,0.10,11.23,99.81,9.103,284.484,8.50,
2023/11/28 07:25:19,0.176,19.765,0.060,0.107,121.246,998.300,-1.701,0.11,0.11,11.23,99.85,9.105,284.556,8.51,
2023/11/28 07:25:19,0.176,19.765,0.059,0.107,120.633,998.300,-1.701,0.11,0.11,11.09,99.92,9.111,284.751,8.52,
2023/11/28 07:25:19,0.176,19.765,0.060,0.108,121.884,998.300,-1.701,0.00,0.00,11.07,99.91,9.111,284.724,8.51,
2023/11/28 07:25:19,0.176,19.765,0.060,0.108,121.527,998.300,-1.701,0.06,0.06,11.09,99.97,9.116,284.901,8.50,
2023/11/28 07:25:19,0.176,19.765,0.060,0.107,121.435,998.300,-1.701,0.10,0.10,10.99,99.80,9.100,284.391,8.50,
2023/11/28 07:25:19,0.176,19.766,0.059,0.107,120.645,998.300,-1.701,0.10,0.10,11.20,99.84,9.104,284.523,8.50,
