YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Avg_Air_Press,Avg_Wnd_Sp,Avg_Wnd_Dir_N
2023,11,28,3,21,40,1014.86,10.4,63.032
2023,11,28,3,51,40,1014.34,10.3,60.032
2023,11,28,4,21,40,1014.1,10.1,63.032
2023,11,28,4,51,40,1013.82,9.7,63.032
2023,11,28,5,21,40,1013.68,10.3,63.032
2023,11,28,5,51,40,1013.62,9.6,66.032
2023,11,28,6,21,40,1013.6,9.2,67.032
2023,11,28,6,51,40,1013.57,9,69.032
2023,11,28,7,21,40,1013.55,9.1,71.032
2023,11,28,7,51,40,1013.45,9.4,71.032
2023,11,28,8,21,40,1013.64,8.8,77.032
2023,11,28,8,51,40,1013.75,8.8,76.032
2023,11,28,9,21,40,1013.88,9.1,77.032
2023,11,28,9,51,40,1014.19,8.6,80.032
2023,11,28,10,51,40,1014.34,9.4,75.032
2023,11,28,11,21,40,1014.4,9.2,74.032
2023,11,28,11,51,40,1014.47,9.3,73.032
2023,11,28,12,21,40,1014.61,8.9,72.032
2023,11,28,12,51,40,1014.59,9.7,67.032
2023,11,28,13,51,40,1014.36,10.3,64.032
2023,11,28,14,51,40,1014.17,10,65.032
2023,11,28,15,21,40,1014.12,9.5,73.032
2023,11,28,15,51,40,1013.99,9.3,69.032
2023,11,28,16,51,40,1013.43,9.5,67.032
2023,11,28,17,21,40,1012.88,8.8,66.032
2023,11,28,17,51,40,1013.14,8.3,61.032
2023,11,28,18,21,40,1013.1,8.2,67.032
2023,11,28,18,51,40,1013.04,8,71.032
2023,11,28,20,51,40,1011.8,7.6,66.032
2023,11,28,21,21,40,1011.61,9,62.032
2023,11,28,21,51,40,1011.99,8.3,67.032
2023,11,28,22,21,40,1012.38,7.5,74.032
2023,11,28,22,51,40,1012.48,7.1,72.032
2023,11,28,23,21,40,1012.76,6.6,68.032
2023,11,28,23,51,40,1012.98,6.1,77.032
2023,11,29,5,51,40,1010.04,9.9,59.031
2023,11,29,7,21,40,1009.72,8.9,54.031
2023,11,29,7,51,40,1009.68,8.9,53.031
2023,11,29,8,21,40,1010,7.6,52.031
2023,11,29,8,51,40,1010.21,7,54.031
2023,11,29,9,21,40,1010.3,7.7,57.031
2023,11,29,9,51,40,1010.47,7.3,54.031
2023,11,29,10,21,40,1010.39,8.2,53.031
2023,11,29,10,51,40,1010.63,7.9,56.031
2023,11,29,11,21,40,1010.8,9.5,61.031
2023,11,29,11,51,40,1011.05,8.2,69.031
2023,11,29,12,21,40,1010.9,8.9,72.031
2023,11,29,12,51,40,1010.81,9.7,68.031
2023,11,29,13,21,40,1010.54,9.2,67.031
2023,11,29,14,21,40,1010.37,8.1,74.031
2023,11,29,14,51,40,1010.21,8.5,70.031
2023,11,29,15,21,40,1010.23,8,74.031
2023,11,29,15,51,40,1010.11,8.5,67.031
2023,11,29,16,21,40,1010.21,7.4,73.031
2023,11,29,17,51,40,1008.66,8.3,75.031
2023,11,29,18,21,40,1008.77,8,81.031
2023,11,29,18,51,40,1008.49,8,80.031
2023,11,29,19,21,40,1008.07,8.1,75.031
2023,11,29,19,51,40,1007.73,8.4,74.031
2023,11,29,20,21,40,1008.09,7.3,74.031
2023,11,29,20,51,40,1008.31,7,71.031
2023,11,29,21,21,40,1008.44,7.6,70.031
2023,11,29,21,51,40,1008.5,6.9,76.031
2023,11,29,22,21,40,1008.63,7,79.031
2023,11,29,22,51,40,1008.97,7.4,76.031
2023,11,29,23,21,40,1009.51,6.5,79.031
2023,11,29,23,51,40,1009.62,6.7,82.031
2023,11,30,0,21,40,1009.92,6.1,83.031
2023,11,30,0,51,40,1009.97,6,82.031
2023,11,30,1,21,40,1009.13,8.2,73.031
2023,11,30,1,51,40,1008.84,8.7,68.031
2023,11,30,2,21,40,1009.32,7.3,69.031
2023,11,30,2,51,40,1009.47,6.5,66.031
